country,year,womparl,quota,lnmmrt,lngdp
Albania,1990,28.799999237060547,0,4.2626800537109375,8.460165023803711
Albania,1991,3.5999999046325684,0,4.23410701751709,8.115372657775879
Albania,1992,5.699999809265137,0,4.174386978149414,8.046713829040527
Albania,1993,5.699999809265137,0,4.143135070800781,8.144482612609863
Albania,1994,5.699999809265137,0,3.891819953918457,8.230356216430664
Albania,1995,5.699999809265137,0,3.970292091369629,8.361403465270996
Albania,1996,12.100000381469727,0,3.9120230674743652,8.4547119140625
Albania,1997,5.199999809265137,0,3.931826114654541,8.34625244140625
Albania,1998,5.199999809265137,0,3.828640937805176,8.438804626464844
Albania,1999,5.199999809265137,0,3.7376699447631836,8.571781158447266
Albania,2000,5.199999809265137,0,3.761199951171875,8.642692565917969
Albania,2001,5.699999809265137,0,3.6888790130615234,8.728486061096191
Albania,2002,5.699999809265137,0,3.6109180450439453,8.772928237915039
Albania,2003,5.699999809265137,0,3.5553479194641113,8.832798957824707
Albania,2004,6.400000095367432,0,3.4339869022369385,8.89250373840332
Albania,2005,7.099999904632568,0,3.4011969566345215,8.953252792358398
Albania,2006,7.099999904632568,0,3.367295980453491,9.01244831085205
Albania,2007,7.099999904632568,0,3.4011969566345215,9.077330589294434
Albania,2008,7.099999904632568,0,3.4011969566345215,9.121923446655273
Albania,2009,16.399999618530273,0,3.4011969566345215,9.161638259887695
Albania,2010,16.399999618530273,0,3.4011969566345215,9.203031539916992
Albania,2011,15.699999809265137,0,3.4011969566345215,9.230903625488281
Albania,2012,15.699999809265137,0,3.4011969566345215,9.246655464172363
Albania,2013,17.899999618530273,0,3.367295980453491,9.258444786071777
Albania,2014,20,0,3.367295980453491,9.278103828430176
Albania,2015,20.714279174804688,0,3.367295980453491,9.303037643432617
Algeria,1990,2.4000000953674316,0,5.375277996063232,9.233748435974121
Algeria,1991,2.4000000953674316,0,5.34710693359375,9.197203636169434
Algeria,1992,10,0,5.323009967803955,9.1917142868042
Algeria,1993,10,0,5.303305149078369,9.148470878601074
Algeria,1994,6.699999809265137,0,5.2781147956848145,9.118912696838379
Algeria,1995,6.699999809265137,0,5.257494926452637,9.137276649475098
Algeria,1996,6.699999809265137,0,5.24174690246582,9.160066604614258
Algeria,1997,3.200000047683716,0,5.214935779571533,9.1549711227417
Algeria,1998,3.200000047683716,0,5.1873860359191895,9.189805030822754
Algeria,1999,3.200000047683716,0,5.159055233001709,9.207232475280762
Algeria,2000,3.4000000953674316,0,5.13579797744751,9.231221199035645
Algeria,2001,3.4000000953674316,0,5.099865913391113,9.247846603393555
Algeria,2002,6.199999809265137,0,5.062594890594482,9.289751052856445
Algeria,2003,6.199999809265137,0,5.03043794631958,9.346609115600586
Algeria,2004,6.199999809265137,0,5.010634899139404,9.375616073608398
Algeria,2005,6.199999809265137,0,4.997211933135986,9.419180870056152
Algeria,2006,6.199999809265137,0,4.990433216094971,9.421287536621094
Algeria,2007,7.699999809265137,0,4.997211933135986,9.439120292663574
Algeria,2008,7.699999809265137,0,4.997211933135986,9.446234703063965
Algeria,2009,7.699999809265137,0,4.997211933135986,9.445218086242676
Algeria,2010,7.699999809265137,0,4.990433216094971,9.462700843811035
Algeria,2011,8,0,4.990433216094971,9.471961975097656
Algeria,2012,31.600000381469727,1,4.976734161376953,9.485086441040039
Algeria,2013,31.600000381469727,1,4.969812870025635,9.492025375366211
Algeria,2014,31.600000381469727,1,4.948760032653809,9.509209632873535
Algeria,2015,31.601730346679688,1,4.941641807556152,9.52695369720459
Angola,1990,14.5,0,7.056175231933594,8.388070106506348
Angola,1991,19,0,7.056175231933594,8.345094680786133
Angola,1992,9.5,0,7.073269844055176,8.241083145141602
Angola,1993,9.5,0,7.073269844055176,7.924370765686035
Angola,1994,9.5,0,7.073269844055176,7.92664909362793
Angola,1995,9.5,0,7.047516822814941,7.9951558113098145
Angola,1996,9.5,0,7.021083831787109,8.07276439666748
Angola,1997,9.5,0,6.975413799285889,8.1214752197265625
Angola,1998,15.5,0,6.937314033508301,8.160154342651367
Angola,1999,15.5,0,6.888573169708252,8.163713455200195
Angola,2000,15.5,0,6.828711986541748,8.16305923461914
Angola,2001,15.5,0,6.777647018432617,8.17194652557373
Angola,2002,15.5,0,6.722630023956299,8.065901756286621
Angola,2003,15.5,0,6.6707658767700195,8.081783294677734
Angola,2004,15,0,6.618739128112793,8.149317741394043
Angola,2005,15,0,6.558197975158691,8.281286239624023
Angola,2006,15,0,6.504288196563721,8.434054374694824
Angola,2007,15,0,6.46146821975708,8.6021089553833
Angola,2008,37.29999923706055,0,6.406879901885986,8.695897102355957
Angola,2009,38.599998474121094,0,6.364750862121582,8.68407154083252
Angola,2010,38.599998474121094,0,6.329720973968506,8.681879043579102
Angola,2011,38.20000076293945,0,6.302618980407715,8.684613227844238
Angola,2012,34.099998474121094,0,6.26530122756958,8.699287414550781
Angola,2013,34.099998474121094,0,6.232448101043701,8.729884147644043
Angola,2014,36.79999923706055,0,6.200509071350098,8.74195671081543
Angola,2015,36.818180084228516,0,6.167517185211182,8.737302780151367
Argentina,1990,6.300000190734863,0,4.276666164398193,9.288755416870117
